Nodes	expA	expR	expN	expD	expC	expQ	expE	expG	expH	expI	expL	expK	expM	expF	expP	expS	expT	expW	expY	expV	ebA	ebR	ebN	ebD	ebC	ebQ	ebE	ebG	ebH	ebI	ebL	ebK	ebM	ebF	ebP	ebS	ebT	ebW	ebY	ebV
55	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.065504	0.0543287	0.0552047	0.0616249	0.0288753	0.0482793	0.0476258	0.1031	0.0263225	0.0580525	0.0987005	0.0175627	0.0281805	0.0346235	0.0577833	0.047995	0.0442431	0.00913076	0.0281221	0.0847411
56	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.130612	0.0734694	0.0653061	0.0734694	0.0408163	0.044898	0.0693878	0.102041	0.0489796	0.0653061	0.138776	0.0367347	0.0326531	0.0530612	0.0693878	0.0612245	0.0530612	0.0326531	0.044898	0.0734694
57	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.195918	0.159184	0.142857	0.142857	0.118367	0.130612	0.142857	0.208163	0.118367	0.142857	0.2	0.0979592	0.118367	0.130612	0.146939	0.134694	0.134694	0.110204	0.118367	0.167347
58	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.195918	0.159184	0.142857	0.142857	0.118367	0.130612	0.142857	0.208163	0.118367	0.142857	0.2	0.0979592	0.118367	0.130612	0.146939	0.134694	0.134694	0.110204	0.118367	0.167347
59	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.109013	0.0634984	0.0484935	0.0489634	0.0234721	0.0353029	0.0527416	0.118553	0.0261919	0.0488477	0.106412	0.00296056	0.0245332	0.0338264	0.0561715	0.0475083	0.0436658	0.0124665	0.0214934	0.0758848
60	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0948696	0.0588586	0.0543463	0.0575403	0.0281317	0.0346055	0.0539289	0.10248	0.0274844	0.0507061	0.103456	0.0110663	0.0267852	0.0308504	0.0595454	0.0429679	0.0406625	0.00923271	0.0282823	0.0841993
61	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.130612	0.134694	0.0897959	0.114286	0.0857143	0.0734694	0.106122	0.155102	0.0816327	0.0938776	0.146939	0.0612245	0.0693878	0.0857143	0.106122	0.0897959	0.0897959	0.0612245	0.077551	0.155102
62	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.15102	0.138776	0.138776	0.138776	0.106122	0.126531	0.138776	0.179592	0.106122	0.138776	0.167347	0.106122	0.114286	0.126531	0.130612	0.118367	0.126531	0.0938776	0.110204	0.171429
63	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.155102	0.134694	0.130612	0.146939	0.106122	0.126531	0.130612	0.187755	0.106122	0.130612	0.183673	0.106122	0.106122	0.122449	0.134694	0.122449	0.122449	0.0938776	0.110204	0.171429
64	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.155102	0.130612	0.130612	0.146939	0.106122	0.130612	0.130612	0.187755	0.106122	0.130612	0.183673	0.106122	0.106122	0.122449	0.134694	0.122449	0.122449	0.0938776	0.110204	0.171429
65	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0772087	0.0503254	0.0495053	0.0647998	0.0244607	0.0428428	0.0522875	0.109795	0.0261068	0.0485988	0.100067	0.0222708	0.0247211	0.0373209	0.0554164	0.0464023	0.043682	0.00827506	0.0251771	0.0907369
66	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0786646	0.0571413	0.0551423	0.0569169	0.0246018	0.0438281	0.0563697	0.107009	0.026257	0.0527502	0.0976877	0.0223161	0.0262925	0.038493	0.0561411	0.0378358	0.0424907	0.00827011	0.0251249	0.0866674
67	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0800112	0.0564796	0.0540621	0.0580158	0.0288271	0.0443949	0.0512312	0.102354	0.0263587	0.0482671	0.100049	0.0140049	0.0270035	0.0342816	0.0593449	0.0445052	0.0432097	0.00891412	0.0283232	0.0903625
68	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0800104	0.0564799	0.0540624	0.058016	0.0288271	0.0443978	0.051228	0.102353	0.0263586	0.0482676	0.100049	0.014003	0.0270037	0.0342815	0.0593459	0.0445055	0.0432114	0.00891434	0.028323	0.0903615
69	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0704612	0.0559691	0.054909	0.0605423	0.0288401	0.0484016	0.04907	0.102243	0.026201	0.0544101	0.0992141	0.0165386	0.0276539	0.0343675	0.0586411	0.0458449	0.0443749	0.00906034	0.0281525	0.0851044
